"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-03-03,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,1.39728387301756e-13,7.45241612682684e-14,2.31827858266485e-13,1.08723546061614e-13,1.66693119669585e-13,2.76161745758346,2.27748674927446,3.31450604463658,2.52641858531209,2.96994408152115
"2",2020-03-04,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0,0,0,0,0,2.90242734819781,2.39278988050446,3.48998396019234,2.65426874237607,3.12622971785975
"3",2020-03-05,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,4.85203911303207e-05,2.66607192488453e-05,7.86946028796623e-05,3.78097853812048e-05,5.73441214009867e-05,3.03866843519124,2.49663054693774,3.67611029007436,2.7741642261587,3.27907387707044
"4",2020-03-06,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.000316809612674447,0.000174078813918931,0.000513829465861324,0.000246875657489043,0.000374423380912325,3.24073091836375,2.6331588248173,3.95216850275001,2.94526524143937,3.50342895590198
"5",2020-03-07,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.00118018716072868,0.000648482788788089,0.00191413048769061,0.000919667426772245,0.00139481142348871,2.93115569470884,2.38296063361553,3.55107958084175,2.66753731562311,3.16099653464105
"6",2020-03-08,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.00348062452843683,0.00191251453670393,0.00564518048304401,0.00271229607484584,0.00411359741461784,2.97653546202872,2.39731981330433,3.64548517394834,2.69350660174662,3.22123535559695
"7",2020-03-09,"E06000049 - Cheshire East",0,192.410071415459,122.445402384623,281.510737030529,163.298524055227,218.712130248675,0,0.00786173043343932,0.00431982065711437,0.0127508402136488,0.00612629728426638,0.00929143425876575,2.6557527797205,2.18730815283725,3.1802697779626,2.43097554720619,2.85476155005035
"8",2020-03-10,"E06000049 - Cheshire East",1,242.796139890254,156.537386313985,352.063170593824,206.720461119993,274.993253416298,0,0.01552795223203,0.00853221429843192,0.0251845874686354,0.0121002433744967,0.0183518054401217,2.80847375553698,2.30536193839557,3.37665726110266,2.56545030859906,3.0237167733047
"9",2020-03-11,"E06000049 - Cheshire East",1,287.857404077378,188.743553539572,413.777635603029,246.751813254115,323.863914610012,0,0.0271896157205963,0.0149489327727821,0.0440856925174286,0.0211940205584212,0.0321301563390911,2.82240027829182,2.33626906945063,3.38573210069929,2.58600180118465,3.03561282528979
"10",2020-03-12,"E06000049 - Cheshire East",3,349.878787535181,237.699107884763,490.892670309363,303.020776635732,389.979544590361,0,0.0445238754902859,0.0245261476284259,0.0721143742869738,0.0347409860915422,0.0525877992763681,2.90191888903382,2.40018453422127,3.4925789482645,2.65680590447533,3.12329005498948
"11",2020-03-13,"E06000049 - Cheshire East",2,424.820378544731,296.604767257361,586.272050838345,373.199380719066,470.24095059142,0,0.067621735810531,0.0373977879254935,0.109280760603168,0.0528659487491528,0.0798015781099209,2.96700003392002,2.43276313955064,3.5828171987224,2.70983105948014,3.20098571268729
"12",2020-03-14,"E06000049 - Cheshire East",3,460.168222794584,326.569191364103,625.490803707305,406.426415664337,506.521441434443,0,0.097959641366555,0.0545748637453949,0.157652623455346,0.0768516352389274,0.115309722816927,2.68628395141752,2.24300237238161,3.20665814482133,2.47072739064709,2.88197840815718
