"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-03-03,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,1.39728387301756e-13,7.45241612682684e-14,2.31827858266485e-13,1.08723546061614e-13,1.66693119669585e-13,2.76161745758346,2.27748674927446,3.31450604463658,2.52641858531209,2.96994408152115
"2",2020-03-04,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0,0,0,0,0,2.90242734819781,2.39278988050446,3.48998396019234,2.65426874237607,3.12622971785975
"3",2020-03-05,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,4.85203911303207e-05,2.66607192488453e-05,7.86946028796623e-05,3.78097853812048e-05,5.73441214009867e-05,3.03866843519124,2.49663054693774,3.67611029007436,2.7741642261587,3.27907387707044
"4",2020-03-06,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.000316809612674447,0.000174078813918931,0.000513829465861324,0.000246875657489043,0.000374423380912325,3.24073091836375,2.6331588248173,3.95216850275001,2.94526524143937,3.50342895590198
"5",2020-03-07,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.00118018716072868,0.000648482788788089,0.00191413048769061,0.000919667426772245,0.00139481142348871,2.93115569470884,2.38296063361553,3.55107958084175,2.66753731562311,3.16099653464105
"6",2020-03-08,"E06000049 - Cheshire East",0,139.728387301756,74.5241612682684,231.827858266485,108.723546061614,166.693119669584,0,0.00348062452843683,0.00191251453670393,0.00564518048304401,0.00271229607484584,0.00411359741461784,2.97653546202872,2.39731981330433,3.64548517394834,2.69350660174662,3.22123535559695
"7",2020-03-09,"E06000049 - Cheshire East",0,192.410071415459,122.445402384623,281.510737030529,163.298524055227,218.712130248675,0,0.00786173043343932,0.00431982065711437,0.0127508402136488,0.00612629728426638,0.00929143425876575,2.6557527797205,2.18730815283725,3.1802697779626,2.43097554720619,2.85476155005035
"8",2020-03-10,"E06000049 - Cheshire East",1,242.796139890254,156.537386313985,352.063170593824,206.720461119993,274.993253416298,0,0.01552795223203,0.00853221429843192,0.0251845874686354,0.0121002433744967,0.0183518054401217,2.80847375553698,2.30536193839557,3.37665726110266,2.56545030859906,3.0237167733047
"9",2020-03-11,"E06000049 - Cheshire East",1,287.857404077378,188.743553539572,413.777635603029,246.751813254115,323.863914610012,0,0.0271896157205963,0.0149489327727821,0.0440856925174286,0.0211940205584212,0.0321301563390911,2.82240027829182,2.33626906945063,3.38573210069929,2.58600180118465,3.03561282528979
"10",2020-03-12,"E06000049 - Cheshire East",3,349.878787535181,237.699107884763,490.892670309363,303.020776635732,389.979544590361,0,0.0445238754902859,0.0245261476284259,0.0721143742869738,0.0347409860915422,0.0525877992763681,2.90191888903382,2.40018453422127,3.4925789482645,2.65680590447533,3.12329005498948
"11",2020-03-13,"E06000049 - Cheshire East",2,424.820378544731,296.604767257361,586.272050838345,373.199380719066,470.24095059142,0,0.067621735810531,0.0373977879254935,0.109280760603168,0.0528659487491528,0.0798015781099209,2.96700003392002,2.43276313955064,3.5828171987224,2.70983105948014,3.20098571268729
"12",2020-03-14,"E06000049 - Cheshire East",3,460.168222794584,326.569191364103,625.490803707305,406.426415664337,506.521441434443,0,0.097959641366555,0.0545748637453949,0.157652623455346,0.0768516352389274,0.115309722816927,2.68628395141752,2.24300237238161,3.20665814482133,2.47072739064709,2.88197840815718
"13",2020-03-15,"E06000049 - Cheshire East",1,551.866240194349,399.856769786613,736.673983159719,492.136743481747,606.936064067998,0,0.136131854366614,0.0765629463981648,0.217813537982571,0.107179600296714,0.159755436715216,2.69705645407635,2.235903364504,3.2256637940321,2.47492634464303,2.89732358845618
"14",2020-03-16,"E06000049 - Cheshire East",0,725.27044012661,533.506952414402,952.867461921954,647.590427194708,796.014329619578,0,0.183256894288436,0.104181516687291,0.291148450208769,0.145084165097318,0.214579354531397,2.98631036301546,2.48460690073672,3.61387114283712,2.74374607622372,3.20516163223882
"15",2020-03-17,"E06000049 - Cheshire East",4,819.524592509766,606.451958884597,1073.00725025752,734.107755756977,897.953763996494,0,0.240623288344328,0.13859384338729,0.378251816846578,0.192238299519659,0.280957377805867,2.83873815406831,2.38251066569678,3.40620199086886,2.62179616285369,3.03560937057072
"16",2020-03-18,"E06000049 - Cheshire East",4,806.868312246786,602.682450404669,1057.45216012839,725.332598316195,882.162014562208,0,0.309529738638251,0.181936971051377,0.480707800624445,0.249012954438534,0.359883870944226,2.33571220346865,2.01224963254655,2.72883657925736,2.18810249262353,2.47296701158776
"17",2020-03-19,"E06000049 - Cheshire East",4,1087.74542146033,808.631893002973,1433.41797963288,975.8149585462,1186.00863496067,0,0.392108837757304,0.235518799865351,0.601563060148759,0.318985400432513,0.45389258331856,2.65639325915547,2.26234633062624,3.1640159718788,2.47432264730797,2.82042658431035
"18",2020-03-20,"E06000049 - Cheshire East",1,1249.30179538486,934.607946189607,1661.09149765423,1119.54032534011,1361.38430559774,0,0.48944195450793,0.301282702905016,0.737946304757511,0.40299500449341,0.56350752197419,2.60300912094028,2.21653220264749,3.08709878090443,2.42611904804258,2.76559772445548
"19",2020-03-21,"E06000049 - Cheshire East",3,1203.55062995208,905.462330281347,1586.65475220222,1081.18514958668,1306.86760428037,1,0.604758758051364,0.381575308039858,0.897327739742604,0.503322179270804,0.691666194347784,2.13746946562431,1.8612175822734,2.4752401557148,2.01629714934107,2.24749736838072
"20",2020-03-22,"E06000049 - Cheshire East",5,1136.97792035563,856.787459188848,1500.61707783581,1020.85772651221,1232.18776879981,1,0.740687931184586,0.480772782422163,1.0779485527765,0.622616942449306,0.843772664555502,1.73299234282254,1.5349911414608,1.96303525170007,1.64819220567477,1.81254086368081
"21",2020-03-23,"E06000049 - Cheshire East",2,1300.64658935827,985.526949107733,1714.2640804435,1168.76564694919,1411.15634488044,0,0.900114976057541,0.599654967198142,1.2923873158429,0.766811259612142,1.01728323376458,1.73966038866663,1.55605453741697,1.9469390738496,1.66426286302805,1.81259890774415
"22",2020-03-24,"E06000049 - Cheshire East",7,1026.59785000255,790.718459544803,1326.13948370086,927.620271670502,1109.07017359245,1,1.08616747286855,0.742561424052745,1.53410355943519,0.935667618430017,1.21631676460746,1.23457801664979,1.14164712782195,1.33284563449319,1.20004236468375,1.26880080392906
"23",2020-03-25,"E06000049 - Cheshire East",12,1032.97633595722,801.983497742461,1330.41176908432,934.6987498072,1117.04344428344,0,1.30331431245453,0.916661702295667,1.80798647565298,1.13588016164437,1.44947693323021,1.14069518130989,1.05735433089861,1.22979093540562,1.11026163331074,1.17205147801495
"24",2020-03-26,"E06000049 - Cheshire East",10,1074.84946535132,836.261839399017,1388.10620311863,973.783434091532,1162.1765620993,1,1.55290844460958,1.11765607917518,2.11134771212222,1.36795603594778,1.71568449476543,1.11998925827296,1.03596623576042,1.20671946058754,1.09017037595822,1.15145511130417
"25",2020-03-27,"E06000049 - Cheshire East",14,1010.2226201875,789.489506051133,1302.0056279109,916.005941812527,1088.05438292092,0,1.83609440263735,1.34601934358267,2.45190167020113,1.6339255245341,2.02029407520308,1.01405236628451,0.934462499749325,1.09364360536008,0.985254093747257,1.04323424028925
"26",2020-03-28,"E06000049 - Cheshire East",8,787.599726433218,617.798404410761,1011.75722461028,715.023614033021,850.490715421702,1,2.15525046386486,1.61964678484742,2.82204289738616,1.93722246582386,2.35251883831451,0.772440325381697,0.697636579710408,0.847286529835265,0.745611109684392,0.798920787411695
