"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-03-07,"E06000021 - Stoke-on-Trent",0,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,6.54355632557247e-14,3.31914098649689e-14,1.18012710150747e-13,5.08388939792444e-14,7.67656083140269e-14,3.599735895112,3.05545033077076,4.27100217919425,3.42684217663421,3.77521107156261
"2",2020-03-08,"E06000021 - Stoke-on-Trent",0,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,2.01027007197877e-06,1.06204081001198e-06,3.40636457948793e-06,1.58348765337488e-06,2.34677147226068e-06,3.61584189102896,3.05851757850294,4.28717124206118,3.43379417408061,3.79999409577113
"3",2020-03-09,"E06000021 - Stoke-on-Trent",0,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,2.07727907437806e-05,1.09744217034571e-05,3.51991006547086e-05,1.63627057515404e-05,2.42499718800271e-05,3.16718262194528,2.70477898381462,3.72327673744423,3.02718664992473,3.30972373944405
"4",2020-03-10,"E06000021 - Stoke-on-Trent",0,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,0.000134688094822577,7.11567342708025e-05,0.000228226426825691,0.000106093672776117,0.000157233688641466,3.43333606695173,2.9211410012129,4.05479501835741,3.27366015090312,3.59566010776963
"5",2020-03-11,"E06000021 - Stoke-on-Trent",0,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,0.000542772919434267,0.000286751018703234,0.00091971843646174,0.000427541666411217,0.000633628297510385,3.37762075575773,2.8812679565902,3.98474208642431,3.22327251753654,3.5376035040081
"6",2020-03-12,"E06000021 - Stoke-on-Trent",2,65.4355632557247,33.1914098649689,118.012710150747,50.8388939792444,76.7656083140269,0,0.00155460885566358,0.000821311559742596,0.002634255274804,0.00122456378527657,0.00181483660521493,3.38719111302017,2.88766838752879,3.99471693305842,3.22697245613089,3.5468847985735
"7",2020-03-13,"E06000021 - Stoke-on-Trent",0,122.902600964535,70.5728803309006,198.131720622021,99.4611787642678,141.55732682492,0,0.0036452897305215,0.00192583400215505,0.00617687443747144,0.00287139094478645,0.00425547893636604,3.59083408072283,3.0459703462515,4.26165603158857,3.41099638546577,3.76468464130335
"8",2020-03-14,"E06000021 - Stoke-on-Trent",1,136.489901368544,78.8776858323438,218.088402354283,110.884560770288,156.821586270137,0,0.00722399714162201,0.00381697164253499,0.0122400464254048,0.00569022553656705,0.00843324134373463,3.29292533228838,2.81009013715765,3.88381350162262,3.13789978048514,3.44635696123576
"9",2020-03-15,"E06000021 - Stoke-on-Trent",0,167.331384389345,98.0868790804695,265.197291024778,136.348021339705,192.009747537838,0,0.0127644573808026,0.00674858224568403,0.021619904889011,0.0100534210511206,0.0149012081729335,3.29812647254814,2.81230676508463,3.88964502947469,3.14639860868356,3.45041590578992
"10",2020-03-16,"E06000021 - Stoke-on-Trent",0,227.301151546999,136.100837904823,354.003422862459,187.41675677832,258.904399626326,0,0.0209272566294293,0.0110890866960501,0.0354001424794957,0.0164803218041593,0.0244138740915197,3.65165850382606,3.07828345293386,4.33808236331439,3.45704645298764,3.83901857974225
"11",2020-03-17,"E06000021 - Stoke-on-Trent",1,268.114405895081,163.701779104069,410.66348637747,222.568065319513,305.99892071594,0,0.0319988340889777,0.0170421856750569,0.0539702507520505,0.0252415186318718,0.0372855650429,3.48826208406027,2.94028270035353,4.14184421863325,3.29610667757188,3.66463918818316
"12",2020-03-18,"E06000021 - Stoke-on-Trent",1,271.398792261486,169.180843232552,405.424442099766,227.514199612081,307.606568129931,0,0.0466506024289172,0.0250217632722101,0.0784646689593597,0.0368437757808424,0.0543603437375556,2.83617206480007,2.42332488323209,3.33450557798548,2.69167316735206,2.96586499976055
"13",2020-03-19,"E06000021 - Stoke-on-Trent",1,381.013397085799,239.771593720853,565.65517159548,322.080155850124,433.547651700941,0,0.0657271239133333,0.0354918407559376,0.110331079444116,0.0521005617204562,0.0765608753661007,3.22732734892444,2.71517092675541,3.83978611097433,3.04354322602226,3.38752790407627
"14",2020-03-20,"E06000021 - Stoke-on-Trent",1,452.417491679989,286.421918991798,667.379985769536,384.526601975714,514.604114669085,0,0.0896077202257075,0.0487912834980664,0.149231008716304,0.0712749111640173,0.104152145544985,3.14996236973834,2.64425351003462,3.75997070573113,2.96991217187123,3.30740942825402
"15",2020-03-21,"E06000021 - Stoke-on-Trent",2,388.712158542776,255.078603288821,557.692811940792,334.145312673987,437.827492211446,0,0.119602821356808,0.0657434584171383,0.197024230434557,0.0956182489663311,0.138705856449022,2.22520688213268,1.91654862883165,2.58634475046646,2.11453087273741,2.32607179767815
"16",2020-03-22,"E06000021 - Stoke-on-Trent",2,457.710920450641,302.092780516286,652.131525611533,395.662079368203,515.459149119849,0,0.15685022559083,0.0878598441301266,0.256899219839215,0.126027991787441,0.181302650489951,2.18046630914297,1.89959297952355,2.52672388343189,2.08047783518831,2.27665495053056
"17",2020-03-23,"E06000021 - Stoke-on-Trent",4,498.01064428275,335.273587061121,705.080774885297,432.37812379928,558.596610090626,0,0.202231270001054,0.115367077954732,0.32901008809625,0.163681965861189,0.233088039108255,2.03653951400307,1.75162301017765,2.36694428973784,1.93367498484139,2.13082269219697
"18",2020-03-24,"E06000021 - Stoke-on-Trent",5,357.780421841535,251.444822947766,497.768321534929,314.595245025498,395.82266718173,0,0.257596150176348,0.149477478113608,0.414729477700464,0.209547086370107,0.296747238106367,1.28375417914681,1.09602945108043,1.48385838264115,1.21392965359458,1.34982341801491
"19",2020-03-25,"E06000021 - Stoke-on-Trent",5,364.717163327314,260.181309947205,502.203128903766,321.784905652006,402.551409729887,0,0.324603119644137,0.192031162799478,0.514343995347152,0.2652023510977,0.372432991965931,1.17445301354422,0.995810403925005,1.36389071435958,1.10841901100964,1.23824296868108
"20",2020-03-26,"E06000021 - Stoke-on-Trent",5,373.412672114512,270.580148986013,514.292878615298,330.972428972219,411.946370014816,0,0.404217540457427,0.243013145255359,0.631932957812807,0.332220429767778,0.462398838066935,1.11854107362307,0.94301518348977,1.3052675263895,1.05296044361848,1.18122037178925
"21",2020-03-27,"E06000021 - Stoke-on-Trent",3,343.291798618318,251.362545332484,466.959301365844,305.383592303705,376.549693079061,0,0.497504617361629,0.302763932380539,0.768406066745126,0.412156947919523,0.567885520978997,0.983017682981307,0.821014250076113,1.15546547951339,0.924195575252335,1.04082129203778
"22",2020-03-28,"E06000021 - Stoke-on-Trent",4,233.282560301986,170.321518952128,314.76802571664,207.637697218814,255.883756011859,1,0.605102541582353,0.374736410869577,0.918060534519117,0.504197673100715,0.689784608738199,0.651497061703661,0.520753079481222,0.797902169844806,0.596975911455879,0.701064189610835
