"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-03-08,"E10000027 - Somerset",0,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,9.26918903849676e-14,5.06701892324174e-14,1.54401975752282e-13,7.31962570174033e-14,1.0856996144762e-13,3.68236842156949,3.0719268191712,4.39002650721946,3.50882764017274,3.87777323396267
"2",2020-03-09,"E10000027 - Somerset",0,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,2.85878213294169e-06,1.62437145277325e-06,4.66914047273042e-06,2.29605148116712e-06,3.30587137683618e-06,3.52053061887346,2.95046134657103,4.17731187428243,3.35973760211792,3.70180021472981
"3",2020-03-10,"E10000027 - Somerset",2,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,2.95407487070641e-05,1.6785171678657e-05,4.82477848848811e-05,2.37258653053935e-05,3.41606708939738e-05,3.55862173135133,2.98048252508154,4.22921088038393,3.38972785235408,3.73380640814645
"4",2020-03-11,"E10000027 - Somerset",2,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,0.000191538402907093,0.000108832887335808,0.000312832411672938,0.000153835449238197,0.000221493382248024,3.59579685829849,3.01426482553279,4.27364913482939,3.42528520587808,3.77660305173083
"5",2020-03-12,"E10000027 - Somerset",3,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,0.000771871175894257,0.000438580292248779,0.00126066792763721,0.000619933899915122,0.000892585271745768,3.54404827084309,2.97102982362764,4.20787082237129,3.37773751736499,3.72201105043752
"6",2020-03-13,"E10000027 - Somerset",3,92.6918903849676,50.6701892324174,154.401975752282,73.1962570174033,108.56996144762,0,0.00221079151614157,0.00125618059014465,0.00361080196557819,0.0017756131454359,0.00255654053141998,3.76742817591227,3.15764883211266,4.47755102572944,3.58667888401399,3.96518700615094
"7",2020-03-14,"E10000027 - Somerset",2,176.035481507874,105.418149884857,272.315275625777,144.708795937898,202.023380938323,0,0.00518392493440093,0.00294552690102883,0.00846670805721783,0.00416350668584971,0.0059946467633296,3.62241313265579,3.0471452195251,4.29890945715247,3.44481179074707,3.80099981101789
"8",2020-03-15,"E10000027 - Somerset",1,192.492325631646,116.250465038846,295.828738251441,158.895260439069,221.53037073328,0,0.0102732193910523,0.00583742249451335,0.0167774082082046,0.0082513022547692,0.0118798417292576,3.26777001564959,2.75159402331285,3.86430861666249,3.12394113131404,3.42966639169555
"9",2020-03-16,"E10000027 - Somerset",0,286.333813222024,176.240772595408,438.180359090557,237.923614522406,328.153353482746,0,0.0181526759868916,0.0103158253625421,0.0296327754853743,0.0145825015518539,0.0209912984414906,3.96985094038547,3.33356253270156,4.73490212133244,3.76422950572887,4.17281989118002
"10",2020-03-17,"E10000027 - Somerset",0,322.664298141559,201.464841952154,487.410091681611,270.524141121575,367.69706314305,0,0.0297647801455731,0.0169216519609887,0.0485122658503098,0.0239259161140401,0.0343971129915455,3.60749191013897,3.04510481748786,4.25960218833489,3.42444314663304,3.78548802053134
